date,ticker,amount,price,shares,score
2026-07-28,MSFT,100.0,396.09,0.252468,2.405
2026-07-28,NVO,100.0,50.86,1.966182,1.968
2026-08-03,MA,100.0,573.1,0.17449,1.311
2026-08-10,GOOGL,100.0,354.3,0.282247,2.455
2026-08-11,NVO,100.0,47.135,2.121566,5.233
2026-08-17,GOOGL,100.0,345.9,0.289101,1.577
2026-08-18,NVO,100.0,44.88,2.228164,0.0
